date,county,latitude,longitude,rainfall_mm,temp_max_c,temp_min_c,temp_avg_c,evapotranspiration_mm,wind_speed_kmh,data_source
2025-01-01,Baringo,0.81,35.9,0.0,32.5,19.6,26.05,5.82,15.9,open-meteo-archive
2025-01-02,Baringo,0.81,35.9,0.0,32.5,20.1,26.3,5.24,14.4,open-meteo-archive
2025-01-03,Baringo,0.81,35.9,0.0,31.1,19.7,25.4,4.86,12.6,open-meteo-archive
2025-01-04,Baringo,0.81,35.9,0.1,32.0,20.8,26.4,5.85,14.3,open-meteo-archive
2025-01-05,Baringo,0.81,35.9,0.0,32.6,20.3,26.45,5.93,18.0,open-meteo-archive
2025-01-06,Baringo,0.81,35.9,0.0,33.1,18.4,25.75,6.18,12.3,open-meteo-archive
2025-01-07,Baringo,0.81,35.9,0.0,33.4,19.5,26.45,6.27,10.7,open-meteo-archive
2025-01-08,Baringo,0.81,35.9,0.0,33.5,18.8,26.15,6.29,17.0,open-meteo-archive
2025-01-09,Baringo,0.81,35.9,0.0,34.2,19.8,27.0,6.63,15.0,open-meteo-archive
2025-01-10,Baringo,0.81,35.9,0.8,31.5,21.4,26.45,5.39,16.7,open-meteo-archive
2025-01-11,Baringo,0.81,35.9,0.0,32.1,19.5,25.8,5.81,11.7,open-meteo-archive
2025-01-12,Baringo,0.81,35.9,0.0,32.7,21.2,26.95,5.78,16.0,open-meteo-archive
2025-01-13,Baringo,0.81,35.9,0.0,33.1,20.5,26.8,6.15,14.9,open-meteo-archive
2025-01-14,Baringo,0.81,35.9,0.0,33.6,20.8,27.2,5.89,15.6,open-meteo-archive
2025-01-15,Baringo,0.81,35.9,0.0,32.0,19.8,25.9,5.58,16.4,open-meteo-archive
2025-01-16,Baringo,0.81,35.9,0.0,34.3,19.2,26.75,6.33,22.7,open-meteo-archive
2025-01-17,Baringo,0.81,35.9,0.0,32.0,18.9,25.45,5.69,12.8,open-meteo-archive
2025-01-18,Baringo,0.81,35.9,0.0,34.1,19.5,26.8,5.99,10.9,open-meteo-archive
2025-01-19,Baringo,0.81,35.9,0.0,34.8,18.7,26.75,6.57,15.6,open-meteo-archive
2025-01-20,Baringo,0.81,35.9,0.0,34.9,19.9,27.4,7.13,18.8,open-meteo-archive
2025-01-21,Baringo,0.81,35.9,0.0,33.6,20.4,27.0,6.53,17.7,open-meteo-archive
2025-01-22,Baringo,0.81,35.9,0.0,33.9,20.0,26.95,6.37,16.7,open-meteo-archive
2025-01-23,Baringo,0.81,35.9,0.0,33.9,20.4,27.15,6.57,17.6,open-meteo-archive
2025-01-24,Baringo,0.81,35.9,0.0,33.8,20.3,27.05,6.43,15.9,open-meteo-archive
2025-01-25,Baringo,0.81,35.9,0.0,34.0,21.4,27.7,6.6,17.5,open-meteo-archive
2025-01-26,Baringo,0.81,35.9,0.0,35.0,21.7,28.35,6.23,16.8,open-meteo-archive
2025-01-27,Baringo,0.81,35.9,0.0,33.6,20.5,27.05,6.19,18.0,open-meteo-archive
2025-01-28,Baringo,0.81,35.9,7.0,34.0,20.7,27.35,4.69,13.3,open-meteo-archive
2025-01-29,Baringo,0.81,35.9,8.1,30.8,19.1,24.95,4.48,14.3,open-meteo-archive
2025-01-30,Baringo,0.81,35.9,0.6,30.8,19.0,24.9,4.92,10.8,open-meteo-archive
2025-01-31,Baringo,0.81,35.9,0.0,31.6,17.5,24.55,5.61,12.3,open-meteo-archive
2025-02-01,Baringo,0.81,35.9,0.0,32.1,20.2,26.15,5.79,12.2,open-meteo-archive
2025-02-02,Baringo,0.81,35.9,0.0,32.9,19.2,26.05,6.21,12.9,open-meteo-archive
2025-02-03,Baringo,0.81,35.9,0.0,34.4,20.0,27.2,6.1,17.0,open-meteo-archive
2025-02-04,Baringo,0.81,35.9,0.0,34.1,20.5,27.3,6.61,21.6,open-meteo-archive
2025-02-05,Baringo,0.81,35.9,0.0,33.7,18.7,26.2,6.67,12.9,open-meteo-archive
2025-02-06,Baringo,0.81,35.9,0.0,34.5,19.4,26.95,6.23,12.3,open-meteo-archive
2025-02-07,Baringo,0.81,35.9,0.0,35.0,21.0,28.0,6.24,15.2,open-meteo-archive
2025-02-08,Baringo,0.81,35.9,0.0,34.7,20.1,27.4,6.79,14.4,open-meteo-archive
